"Name";"Descr"
"Win 2008 - XenApp6.5 - 183";"Описание: Win 2008 - XenApp6.5 - 183; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 199";"Описание: Win 2008 - XenApp6.5 - 199; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 203";"Описание: Win 2008 - XenApp6.5 - 203; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 207";"Описание: Win 2008 - XenApp6.5 - 207; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 208";"Описание: Win 2008 - XenApp6.5 - 208; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 25";"Описание: Win 2008 - XenApp6.5 - 25; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 40";"Описание: Win 2008 - XenApp6.5 - 40; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 41";"Описание: Win 2008 - XenApp6.5 - 41; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 45";"Описание: Win 2008 - XenApp6.5 - 45; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 51";"Описание: Win 2008 - XenApp6.5 - 51; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 61";"Описание: Win 2008 - XenApp6.5 - 61; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 62";"Описание: Win 2008 - XenApp6.5 - 62; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 67";"Описание: Win 2008 - XenApp6.5 - 67; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 69";"Описание: Win 2008 - XenApp6.5 - 69; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 71";"Описание: Win 2008 - XenApp6.5 - 71; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 80";"Описание: Win 2008 - XenApp6.5 - 80; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 83";"Описание: Win 2008 - XenApp6.5 - 83; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - 98";"Описание: Win 2008 - XenApp6.5 - 98; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - CASH_COLVIR";"Описание: Win 2008 - XenApp6.5 - CASH_COLVIR; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp6.5 - COLKAZ";"Описание: Win 2008 - XenApp6.5 - COLKAZ; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp678-006";"Описание: Win 2008 - XenApp678-006; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenApp678-016";"Описание: Win 2008 - XenApp678-016; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenAppFR3";"Описание: Win 2008 - XenAppFR3; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenAppWF01";"Описание: Win 2008 - XenAppWF01; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
"Win 2008 - XenAppWF09";"Описание: Win 2008 - XenAppWF09; XenApp. Ответственный: Шерубаев Асылхан(вн. 0707, +7 707 2778788 ). Руководитель:Саулебек Ш. А."
